"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00001981","SITE_01854","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001988","SITE_01876","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001990","SITE_01877","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001995","SITE_01882","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001997","SITE_01883","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002000","SITE_01889","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00002007","SITE_01932","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00002010","SITE_01934","Bathroom Vent","Unknown","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002017","SITE_01937","Bathroom Vent","Unknown","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00002019","SITE_01941","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00002021","SITE_01943","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002023","SITE_01944","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002026","SITE_01947","Bathroom Vent","Builder Grade","Yes","Timer",1.0000,,"Hours per day",
"Mechanical_00002028","SITE_01949","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002034","SITE_01953","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00002045","SITE_01959","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.1000,,"Hours per day",
"Mechanical_00002047","SITE_01959","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.1000,,"Hours per day",
"Mechanical_00002048","SITE_01959","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002053","SITE_01964","Bathroom Vent","Panasonic or equivalent","Yes","Unknown",,"Unknown","Hours per day",
"Mechanical_00002060","SITE_01968","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00002061","SITE_01969","Bathroom Vent","Builder Grade","Yes","Manual Switch",,"Unknown","Hours per day","Unknown hours"
"Mechanical_00002067","SITE_01971","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002070","SITE_01971","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002073","SITE_01974","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00002075","SITE_01974","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002084","SITE_01987","Bathroom Vent","Panasonic or equivalent","Yes","Timer",3.0000,,"Hours per day",
"Mechanical_00002086","SITE_01988","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002094","SITE_02001","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002096","SITE_02001","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day","Laundry room"
"Mechanical_00002106","SITE_02012","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00002110","SITE_02013","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00002122","SITE_02025","Bathroom Vent","Builder Grade","Yes","Timer",2.0000,,"Hours per day",
"Mechanical_00002124","SITE_02026","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00002129","SITE_02027","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00002130","SITE_02030","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.3000,,"Hours per day",
"Mechanical_00002132","SITE_02031","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day","Broan fan"
